qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level
11,코피·비강 응급,성인 심정지 가슴압박 권장 속도는?,"[""분당 60~80회"", ""분당 100~120회"", ""분당 140~160회"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,‘Stayin’ Alive’ 템포(약 100~120회/분)를 떠올리면 도움이 됩니다.,생존율을 위해 100~120회/분이 권장됩니다.,쉬움,1
12,동물·곤충·뱀 사고,자동심장충격기(AED)는…?,"[""의료인만 사용할 수 있다"", ""패드를 붙이고 기기 음성안내를 따르면 누구나 사용할 수 있다"", ""맥박을 먼저 길게 확인해야만 쓴다"", ""독을 빼기 위해 상처를 칼로 절개해 짜낸다""]",2,패드는 우측 쇄골 아래와 좌측 겨드랑이 아래에 대각선으로 붙이는 원칙을 떠올리세요.,"AED는 일반인 사용을 전제로 설계되며, 음성 안내를 따르면 됩니다.",쉬움,1
13,상처·지혈·골절,성인 기도폐쇄(숨 못 쉬고 말 못 함) 시 올바른 응급처치는?,"[""물을 마시게 한다"", ""등 5회 두드리기와 복부 밀치기를 교대로 시행"", ""거꾸로 들고 흔든다"", ""물 한 컵을 천천히 마시게 하면 해결된다""]",2,"의식 있는 성인은 등 타격과 복부/흉부 밀치기 조합을, 영유아는 복부 밀치기를 피하는 점을 떠올리세요.",의식 있는 성인은 등 타격 5회 + 복부 밀치기를 반복합니다.,쉬움,1
14,기도폐쇄·질식,눈에 화학물질이 튀었다.,"[""젖은 수건으로 닦는다"", ""눈을 크게 벌리고 15분 이상 깨끗한 물로 지속 세척"", ""수렴성 안약을 즉시 넣는다"", ""물 한 컵을 천천히 마시게 하면 해결된다""]",2,"건조 화학물질은 먼저 털어내고, 물/비누로 충분히 씻는 것이 원칙입니다.",지속적인 수세(≥15분)가 핵심입니다. 렌즈 착용 시 제거합니다.,쉬움,1
15,화학물질·중독,쥐어짜는 듯한 가슴 통증·압박감이 10분 이상 지속된다.,"[""집에서 휴식하며 지켜본다"", ""즉시 119에 연락해 도움을 받는다"", ""자가운전으로 병원에 간다"", ""진통제 복용 후 집에서 경과를 보면 된다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",심근경색 의심 상황으로 즉시 응급전화가 우선입니다.,쉬움,1
16,심혈관 응급,성인 치아가 완전히 빠졌다(탈구). 최선의 조치는?,"[""솔로 문질러 씻은 뒤 마른 거즈에 싼다"", ""가능하면 원래 자리에 재삽입(어렵다면 우유/식염수/침에 보관) 후 즉시 치과"", ""얼음 위에 올려 둔다"", ""소독약에 담가 몇 시간 보관한다""]",2,"가능하면 재삽입, 어렵다면 우유/식염수/침에 보관 후 빠르게 내원합니다.",빠른 재삽입 또는 우유·식염수·침 보관 후 즉시 치료가 유리합니다.,쉬움,1
17,치아·구강 응급·위생,팔 골절이 의심될 때?,"[""모양을 맞춰 ‘뚝’ 하고 돌려본다"", ""부목으로 고정·움직임 최소화 후 의료기관으로 이동"", ""온찜질로 풀어준다"", ""통증이 줄 때까지 강하게 주무르면 정복된다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.","고정·안정이 기본, 무리한 정복은 손상 악화.",쉬움,1
18,온열·저체온,화상으로 옷이 피부에 달라붙었다.,"[""즉시 떼어낸다"", ""붙은 부분은 그대로 두고 냉각·의료 도움"", ""연고를 듬뿍 발라 떼어낸다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,"피부를 안전하게 식히는 표준 응급처치(미지근한 흐르는 물, 충분한 시간)를 떠올리세요. 바르는 민간요법은 피합니다.",달라붙은 옷을 억지 제거하면 2차 손상이 생깁니다.,쉬움,1
19,코피·비강 응급,발작(경련) 목격 시 적절한 대처는?,"[""억지로 몸을 눌러 움직임을 막는다"", ""머리 주변 위험물을 치우고 시간(발작 지속)을 기록한다"", ""물을 마시게 한다"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,"억지로 막거나 물건을 입에 넣지 말고, 주변 위험물 제거와 ‘시간 기록’이 핵심입니다.",억지 제압·삽입물 금지. 안전 확보·시간 기록이 중요합니다.,쉬움,1
20,동물·곤충·뱀 사고,눈에 모래가 들어갔다.,"[""비벼서 빨리 빼낸다"", ""깨끗한 물로 눈을 벌리고 충분히 세척"", ""안약을 먼저 듬뿍 넣는다"", ""독을 빼기 위해 상처를 칼로 절개해 짜낸다""]",2,"눈은 비비지 말고, ‘흐르는 물’로 충분히 세척합니다.",비비면 각막 손상 위험. 수세가 우선입니다.,쉬움,1
21,상처·지혈·골절,피부에 화학물질이 묻었다.,"[""마른 수건으로만 가볍게 닦는다"", ""오염된 옷을 벗기고 비누·물로 즉시 씻어낸다"", ""식초 등으로 중화제를 바른다"", ""통증이 줄 때까지 강하게 주무르면 정복된다""]",2,"건조 화학물질은 먼저 털어내고, 물/비누로 충분히 씻는 것이 원칙입니다.",오염 의복 제거 + 물/비누로 세척이 표준입니다(중화제 권장 X).,쉬움,1
22,기도폐쇄·질식,의식이 없고 숨을 쉬지 않는다(또는 비정상 호흡). 먼저 할 일은?,"[""맥박을 오래 확인한다"", ""119 신고와 즉시 가슴압박 시작"", ""흔들어 깨운 뒤 옆으로 눕혀만 둔다"", ""물 한 컵을 천천히 마시게 하면 해결된다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",지연 없이 신고→가슴압박(CAB)이 원칙입니다.,쉬움,1
23,영양·식습관,체온이 약간 높고 몸살 기운이 있다. 잘못된 대처는?,"[""수분·휴식 취하기"", ""항생제를 임의로 복용"", ""해열제 복용 시 성분·용량 확인"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,감기·몸살 등 바이러스성 증상에 항생제는 효과 없습니다.,쉬움,1
24,운동·자세·근골격,알코올 함유 손소독제를 사용할 때 올바른 방법은?,"[""바른 즉시 티슈로 닦아낸다"", ""손 전체가 마를 때까지 문질러 준다"", ""물로 한번 헹군다"", ""소독을 위해 소주를 물에 희석해 부으면 안전하다""]",2,음용 알코올은 피부를 자극/손상시킬 수 있어요. 세척 후 적절한 소독이 무엇인지 떠올리세요.,충분량 도포 후 마를 때까지 문지르는 것이 핵심입니다.,쉬움,1
25,수면·정신건강,혈압 측정 전 올바른 준비는?,"[""커피 한 잔 후 바로 잰다"", ""5분간 편안히 앉아 안정 후 측정"", ""누워서 다리를 꼬고 잰다"", ""운동 직후 바로 재면 더 정확하다""]",2,카페인/운동 후를 피하고 5분 안정 후 측정하는 준비 과정을 떠올리세요.,카페인·운동 직후는 피하고 안정 상태에서 측정합니다.,쉬움,1
26,눈·귀·피부·자외선,비누와 물로 손 씻기의 권장 시간은 최소?,"[""10초"", ""20초"", ""40초"", ""향 좋은 제품이면 시간은 중요하지 않다""]",2,손바닥·등·손가락 사이·손톱 밑까지 ‘20초 이상’ 문질러 씻는 절차를 떠올리세요.,손 전체를 20초 이상 문질러 세정합니다.,쉬움,1
27,영양·식습관,비누/물 없을 때 사용할 손소독제 조건은?,"[""알코올 20% 이상"", ""40% 이상"", ""60% 이상"", ""소독을 위해 소주를 물에 희석해 부으면 안전하다""]",3,"알코올 60% 이상 제품을 사용하고, 마를 때까지 문지르는 것이 핵심입니다.",알코올 ≥60% 제품을 사용합니다.,쉬움,1
28,운동·자세·근골격,해열제(아세트아미노펜·이부프로펜) 복용 시 주의는?,"[""서로 중복된 성분을 이중으로 복용할 수 있다"", ""표기 용량을 지키고, 중복 성분 동시 복용을 피한다"", ""술과 함께 복용해도 무관하다"", ""화면은 낮을수록 좋으니 고개를 깊게 숙여 본다""]",2,위장·신장 위험—식후 복용과 기저질환 상담 원칙을 떠올리세요.,성분·용량 준수가 안전합니다(특히 간독성 주의).,쉬움,1
29,수면·정신건강,상처가 길게 났는데 계속 피가 난다.,"[""흐르는 물로 씻고 지속 압박하여 지혈한다"", ""소금물에 담가둔다"", ""파스를 붙인다"", ""상처를 공기에 노출해 말리면 지혈된다""]",1,가장 효과적인 지혈은 ‘직접·강한·지속’ 압박입니다.,직접 압박 지혈이 기본(오염 제거 포함).,쉬움,1
30,눈·귀·피부·자외선,실내에서 갑자기 어지럽고 식은땀이 흐른다. 잘못된 대처는?,"[""안전한 곳에 앉아 휴식"", ""수분 섭취"", ""운전해서 바람 쐬러 나간다"", ""냉수 샤워로 정신을 차리면 안전하다""]",3,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,어지럼·실신 위험이 있어 운전은 금지입니다.,쉬움,1
31,영양·식습관,감기에 땀을 많이 빼면 빨리 낫는다?,"[""대체로 맞다"", ""과학적 근거가 부족하며 휴식·수분 보충이 우선이다"", ""땀을 많이 빼야만 낫는다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,감기의 주된 원인(바이러스 vs 세균)과 항생제가 작용하는 대상을 구분해 보세요.,발한이 병을 ‘배출’한다는 증거는 부족합니다.,보통,2
32,눈·귀·피부·자외선,비타민 C를 많이 먹으면 감기가 ‘치료’된다?,"[""고용량이면 치료된다"", ""일부에서 기간 단축 보고가 있으나 만능 치료는 아니다"", ""오히려 감기를 유발한다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,감기의 주된 원인(바이러스 vs 세균)과 항생제가 작용하는 대상을 구분해 보세요.,예방·치료 효과는 제한적이고 개인차가 큽니다.,보통,2
33,감기·호흡기 오해,화상 부위에 치약/된장을 바르면 좋다?,"[""도움이 된다"", ""감염·자극 위험이 있어 권장되지 않는다"", ""상처가 크면만 안 된다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,"피부를 안전하게 식히는 표준 응급처치(미지근한 흐르는 물, 충분한 시간)를 떠올리세요. 바르는 민간요법은 피합니다.",이물·세균으로 상태를 악화시킬 수 있습니다.,쉬움,1
34,화상·일광화상,배탈·설사 땐 무조건 지사제를 먹는다?,"[""맞다"", ""원인 따라 해로울 수 있어 수분·전해질 보충이 우선"", ""어린이만 맞다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,"탈수 예방이 최우선인지, 증상만 멈추는 것이 우선인지 비교해 보세요.","탈수 예방이 최우선, 지사제는 상황에 따라 사용합니다.",쉬움,1
35,영양·식습관,고열일 때 알코올로 몸을 닦아 식힌다?,"[""효과적이다"", ""흡수·자극 위험이 있어 권장되지 않는다"", ""미지근한 물보다 낫다"", ""소독을 위해 소주를 물에 희석해 부으면 안전하다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,미지근한 물수건·실내 온도 조절 등 안전한 방법을 쓰세요.,보통,2
36,눈·귀·피부·자외선,벌에 쏘이면 침을 입으로 빨아낸다?,"[""유용하다"", ""감염 위험이 있어 금지, 재빨리 제거 후 냉찜질"", ""뜨거운 찜질이 최고"", ""흐린 날에는 차단제를 바를 필요가 전혀 없다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,긁어내듯 안전하게 제거하고 증상 관찰이 필요합니다.,보통,2
37,감기·호흡기 오해,식염수 코세척은 코막힘에 도움이 될 수 있다?,"[""적절한 방법으로 하면 도움이 될 수 있다"", ""절대 안 된다"", ""항생제만 필요하다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",1,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,올바른 농도·자세·위생이 전제입니다.,보통,2
38,화상·일광화상,흑염소·흑마늘 등 보조식품은 성장·면역에 만능이다?,"[""과학적으로 입증됨"", ""일부 보조는 가능해도 ‘만능’은 아니다"", ""어린이만 효과"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,균형 잡힌 식사·수면·운동이 기본입니다.,보통,2
39,영양·식습관,발톱무좀에 식초를 바르면 낫는다?,"[""표준치료다"", ""자극·화상 위험, 전문 치료가 필요"", ""누구나 안전하다"", ""식초를 바르면 대부분 완치된다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,항진균제 등 근거 기반 치료를 따라야 합니다.,보통,2
40,눈·귀·피부·자외선,귀에 벌레가 들어가면 면봉을 깊게 넣어 꺼낸다?,"[""좋은 방법이다"", ""고막 손상 위험, 억지 조작 금지 후 의료기관 권장"", ""진공청소기로 뺀다"", ""가려우면 바늘로 긁어 진물을 빼야 낫는다""]",2,긁기·자극은 2차 감염을 부를 수 있어요. 냉찜질·관찰 등 기본 대처를 떠올리세요.,과도한 조작은 오히려 악화시킵니다.,보통,2
41,감기·호흡기 오해,술은 잠을 ‘더’ 잘 자게 해 수면의 질을 높인다?,"[""그렇다"", ""잠드는 데는 도움될 수 있어도 수면의 질은 떨어뜨린다"", ""전혀 영향 없다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,취침 1시간 전 스크린 타임을 줄이면 수면 질이 좋아집니다.,단절·각성 증가로 숙면을 방해합니다.,보통,2
42,화상·일광화상,카페인은 보통 섭취량에서도 심한 탈수를 일으킨다?,"[""그렇다"", ""보통 섭취량에서 큰 탈수는 아니나 과량은 주의"", ""물보다 수분 공급이 더 좋다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,섭취 시간과 개인 차이를 고려하세요—특히 저녁·밤에는 피하는 것이 좋습니다.,개인차가 있어 늦은 시간 과량은 피하세요.,보통,2
43,영양·식습관,백신을 맞으면 감기에 절대 안 걸린다?,"[""그렇다"", ""독감·특정 감염 예방에 도움이나 ‘감기’ 자체는 걸릴 수 있다"", ""백신이 감기를 유발한다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,감기의 주된 원인(바이러스 vs 세균)과 항생제가 작용하는 대상을 구분해 보세요.,모든 감기 바이러스 차단은 아닙니다.,보통,2
44,눈·귀·피부·자외선,유통기한 지난 화장품·선크림을 계속 써도 된다?,"[""괜찮다"", ""변질·자극 위험, 권장되지 않는다"", ""더 효과적이다"", ""흐린 날에는 차단제를 바를 필요가 전혀 없다""]",2,"충분량을 노출 15~30분 전에 바르고, 땀·물 후 재도포를 떠올리세요.",피부 자극·감염 위험이 커집니다.,보통,2
45,감기·호흡기 오해,숙취 해소엔 즉효 ‘해장 음식’이 과학적으로 증명됐다?,"[""그렇다"", ""즉효 해법은 없고 휴식·수분 보충이 기본"", ""커피를 많이 마시면 된다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,시간+수분 회복이 핵심입니다.,보통,2
46,화상·일광화상,특정 약을 임의로 구해 감염병을 ‘자가치료’한다?,"[""권장된다"", ""위험, 증상과 진단에 따른 전문의 처방이 필요"", ""누구나 무해하다"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,오남용·부작용·상호작용 위험이 큽니다.,보통,2
47,영양·식습관,해열제는 체온을 꼭 36.5도로 ‘완전히’ 내려야 한다?,"[""그렇다"", ""불편·통증 조절이 목적, 적정 용량으로 증상 조절"", ""열은 절대 내리면 안 된다"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,‘편안함’이 목표입니다.,어려움,3
48,눈·귀·피부·자외선,침으로 상처를 소독한다?,"[""항균효과가 크다"", ""세균이 많아 위험"", ""큰 상처만 위험"", ""소독을 위해 소주를 물에 희석해 부으면 안전하다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,깨끗한 물로 세척 후 적절한 소독제를 사용합니다.,어려움,3
49,감기·호흡기 오해,일광화상 초기 대처로 알맞은 것은?,"[""버터/기름 바르기"", ""뜨거운 샤워"", ""시원한 물로 식히고 보습한다"", ""증상이 좋아지면 항생제는 바로 중단해도 된다""]",3,"피부를 안전하게 식히는 표준 응급처치(미지근한 흐르는 물, 충분한 시간)를 떠올리세요. 바르는 민간요법은 피합니다.",열을 식히고 수분·보습을 유지하세요.,보통,2
50,화상·일광화상,입술 헤르페스에 마늘/치약을 바른다?,"[""좋다"", ""자극·악화 위험"", ""누구나 안전"", ""치약이나 된장을 얇게 바르면 열이 빠진다""]",2,근거 중심의 안전한 표준 원칙을 떠올려 보세요(민간요법·억지 조작 지양).,증상 악화 우려가 있어 전문 상담이 필요합니다.,보통,2
51,화학물질·중독,기름에 불이 붙었다. 올바른 대처는?,"[""물을 끼얹는다"", ""뚜껑·젖은 수건으로 덮고 가스 차단"", ""선풍기로 식힌다"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",물은 기름 화재를 확산시켜 위험합니다.,쉬움,1
52,심혈관 응급,감전 환자를 도울 때 먼저 할 일은?,"[""곧바로 잡아당긴다"", ""전원을 차단하거나 절연체로 분리"", ""물을 끼얹는다"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",구조자 안전이 최우선입니다.,쉬움,1
53,치아·구강 응급·위생,의식 없고 헐떡이는 ‘비정상 호흡’처럼 보인다.,"[""정상으로 보고 관찰"", ""비정상 호흡으로 간주, 119·가슴압박 시작"", ""깨우기만 한다"", ""맥박을 1분 이상 먼저 세세히 확인한다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",지연 없이 신고·압박이 원칙입니다.,쉬움,1
54,온열·저체온,열탈진(어지럼·식은땀) 의심 시?,"[""서늘한 곳·수분·휴식"", ""뜨거운 차 마시기"", ""사우나"", ""전통요법을 먼저 시행하면 더 안전하다""]",1,서늘한 곳으로 이동해 휴식하고 수분/전해질을 보충하는 기본 대처를 생각해 보세요.,체온·수분을 안전하게 회복시켜야 합니다.,쉬움,1
55,코피·비강 응급,열사병(의식 혼미·고체온) 의심 시?,"[""집에서 샤워"", ""즉시 119 신고 후 빠른 냉각"", ""이불로 덮어 땀 빼기"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,의식 저하+고체온은 응급상황입니다. 즉시 신고와 빠른 냉각을 떠올리세요.,"생명 위급, 전문 처치가 필요합니다.",쉬움,1
56,동물·곤충·뱀 사고,저체온증 의심 시?,"[""뜨거운 목욕으로 급가온"", ""젖은 옷 제거·마른 담요·서서히 따뜻하게"", ""알코올 제공"", ""독을 빼기 위해 상처를 칼로 절개해 짜낸다""]",2,젖은 옷을 벗기고 보온하며 ‘서서히’ 따뜻하게—급가온·알코올은 금지입니다.,급격한 가온·알코올은 위험합니다.,쉬움,1
57,상처·지혈·골절,발목을 ‘삐었을 때’ 초기 처치?,"[""휴식·냉찜질·압박·거상(RICE)"", ""온찜질"", ""바로 뛰기"", ""통증이 줄 때까지 강하게 주무르면 정복된다""]",1,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",초기엔 부기·통증을 줄이는 처치가 도움됩니다.,쉬움,1
58,기도폐쇄·질식,코에 작은 이물이 들어갔다.,"[""핀셋·면봉을 깊숙이 넣는다"", ""무리한 조작은 금지, 의료기관 권장"", ""방치한다"", ""밥이나 빵을 크게 삼켜 아래로 밀어내린다""]",2,이물을 더 깊이 밀어 넣는 행동은 위험합니다. 안전한 제거 원칙을 생각해 보세요.,점막 손상·흡인 위험이 있어요.,쉬움,1
59,화학물질·중독,손가락이 완전히/부분 절단됐다.,"[""절단부를 얼음에 직접 닿게 둔다"", ""깨끗한 거즈→비닐봉지→얼음물에 띄워 보관"", ""상처만 압박"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,절단부는 거즈→비닐→얼음물에 ‘띄워’ 보관(직접 얼음 접촉 금지) 원칙을 떠올리세요.,직접 얼음 접촉은 조직 손상 위험이 큽니다.,쉬움,1
60,심혈관 응급,야생동물·의심 동물에 물림,"[""씻지 않는다"", ""흐르는 물+비누로 충분히 씻고 즉시 진료"", ""소금물에 담근다"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",파상풍·광견병 평가가 필요합니다.,쉬움,1
61,치아·구강 응급·위생,전신 두드러기·호흡곤란·어지럼(아나필락시스 의심),"[""누워 지켜본다"", ""즉시 119, 가능 시 에피네프린 자동주사 사용"", ""항히스타민만 복용"", ""전통요법을 먼저 시행하면 더 안전하다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",지연 없이 전문 처치가 필요합니다.,쉬움,1
62,온열·저체온,유아가 질식(의식 있음)할 때,"[""성인처럼 복부 밀치기"", ""등 5회 타격 + 가슴압박 5회 교대로"", ""거꾸로 흔든다"", ""물 한 컵을 천천히 마시게 하면 해결된다""]",2,"의식 있는 성인은 등 타격과 복부/흉부 밀치기 조합을, 영유아는 복부 밀치기를 피하는 점을 떠올리세요.",유아는 복부 밀치기를 피합니다.,쉬움,1
63,코피·비강 응급,금속 조각이 눈에 박힌 것 같다.,"[""비벼서 빼본다"", ""움직임 최소화·가림 후 즉시 진료"", ""손으로 집어 뺀다"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",자가 제거는 위험합니다.,쉬움,1
64,동물·곤충·뱀 사고,코뼈 손상 의심(붓고 통증),"[""힘줘 맞춘다"", ""냉찜질·앞으로 숙이고 진료"", ""온찜질"", ""머리를 뒤로 젖혀 피가 목으로 넘어가게 한다""]",2,"머리를 앞으로 숙이고 냉찜질하며, 필요하면 앞쪽 압박을 병행합니다.",출혈이 있으면 앞쪽 압박도 병행합니다.,쉬움,1
65,상처·지혈·골절,심한 출혈 지혈 기본 원칙은?,"[""깨끗한 천으로 강하고 ‘지속’ 압박"", ""콧바람 불기"", ""상처를 절대 씻지 않기"", ""통증이 줄 때까지 강하게 주무르면 정복된다""]",1,가장 효과적인 지혈은 ‘직접·강한·지속’ 압박입니다.,직접 압박이 가장 효과적입니다.,쉬움,1
66,기도폐쇄·질식,뇌졸중 의심(한쪽 마비·말 어눌),"[""시간 두고 지켜본다"", ""즉시 119"", ""비타민 복용"", ""물 한 컵을 천천히 마시게 하면 해결된다""]",2,"지연을 줄이고 표준 응급 절차(119, 안전확보, 기본 처치)를 우선하세요.",‘시간이 뇌’입니다.,쉬움,1
67,화학물질·중독,낙상 후 목 통증·저림,"[""일으켜 세운다"", ""머리·목 고정, 119"", ""목을 돌려본다"", ""화면은 낮을수록 좋으니 고개를 깊게 숙여 본다""]",2,바닥 정리·미끄럼 방지·충분한 조명을 떠올리세요.,척수 손상 예방이 중요합니다.,쉬움,1
