id,qnum,topic,prompt,choices,answer_index,hint,explanation,difficulty_label,difficulty_level,created_at,updated_at
0d05adc9-105e-47c2-9933-c6cb08376a9f,135,생활 응급,임신부·비만 환자 기도폐쇄 시,"[""복부 밀치기를 한다"",""흉부(가슴) 밀치기를 시행한다"",""물을 마시게 한다"",""물을 마시게 하면 대부분 해결된다""]",1,"성인은 등 5회+복부/흉부 밀치기, 유아는 복부 밀치기 금지를 기억하세요.",임신부·비만 환자는 가슴 밀치기가 권장됩니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
0de1a817-5cb3-473f-9d1e-2094e461e074,107,감염병·위생·식품 안전,냉동육 해동 방법,"[""뜨거운 물"",""냉장·흐르는 찬물·전자레인지"",""실온 방치"",""민간요법을 따르면 대부분 저절로 낫는다""]",1,"‘2시간 규칙', 4℃ 이하 냉장, 내부까지 충분 가열, 교차오염 방지 원칙을 떠올리세요.",실온은 세균 증식 위험이 큽니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
112d2404-3877-421e-9743-fea15139f74d,44,구강·눈·피부,유통기한 지난 화장품·선크림을 계속 써도 된다?,"[""더 효과적이다"",""흐린 날에는 차단제를 바를 필요가 전혀 없다"",""괜찮다"",""변질·자극 위험, 권장되지 않는다""]",3,"외출 15~30분 전 충분량 도포, 땀·물 후 재도포-흐린 날·겨울에도 노출 시 필요합니다.",피부 자극·감염 위험이 커집니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
13827f7f-7597-4cdc-b716-4d338ec18034,71,정신건강·생활습관,성인에게 대체로 권장되는 수면 시간은?,"[""10~12시간"",""취침 직전 화면을 보면 오히려 숙면에 도움된다"",""7~9시간"",""4~5시간""]",2,"‘2시간 규칙', 4℃ 이하 냉장, 내부까지 충분 가열, 교차오염 방지 원칙을 떠올리세요.",개인차는 있으나 이 범위가 흔히 권장됩니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
16e69a84-5ed0-4522-a1cc-839f14b15348,37,민간요법·오해,식염수 코세척은 코막힘에 도움이 될 수 있다?,"[""적절한 방법으로 하면 도움이 될 수 있다"",""민간요법을 따르면 대부분 저절로 낫는다"",""항생제만 필요하다"",""절대 안 된다""]",0,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,올바른 농도·자세·위생이 전제입니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
182e8d0f-bed3-4dc1-82a0-aeafb41e0a6f,175,생활 응급,자몽주스와 약물,"[""건강에 최고"",""일부 약과 상호작용 가능"",""전혀 영향 없음"",""민간요법을 따르면 대부분 저절로 낫는다""]",1,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",복약지도·라벨을 확인하세요.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
190cf6bf-d977-4f1d-86cb-b342cf9266b6,96,약물·의약품 안전,이부프로펜 등 NSAIDs 복용 팁,"[""민간요법을 따르면 대부분 저절로 낫는다"",""우유만 함께"",""식후·지시에 따라 복용"",""공복 고용량""]",3,식후 복용과 위장·신장 위험 안내를 확인하세요.,위장 자극·신장 영향에 주의합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1c87fd59-a657-44a4-b8ec-49c653fb1f44,26,감염병·위생,비누와 물로 손 씻기의 권장 시간은 최소?,"[""10초"",""40초"",""20초"",""민간요법을 따르면 대부분 저절로 낫는다""]",2,"손바닥·등·사이·손톱 밑까지 20초 이상 문지르거나, 알코올≥60% 소독제를 마를 때까지 문지릅니다.",손 전체를 20초 이상 문질러 세정합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1ca9080f-5a4f-44f0-b65d-b95b759da4ae,14,구강·눈·피부,눈에 화학물질이 튀었다.,"[""수건으로 가볍게만 닦으면 충분하다"",""수렴성 안약을 즉시 넣는다"",""눈을 크게 벌리고 15분 이상 깨끗한 물로 지속 세척"",""젖은 수건으로 닦는다""]",2,독이 퍼지지 않도록 ‘움직임 최소화·사지 고정'이 핵심입니다. 절개·빨기는 금지예요.,지속적인 수세(≥15분)가 핵심입니다. 렌즈 착용 시 제거합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1eabb885-f149-4662-b226-7eff1ad92ece,134,민간요법·오해,발목 염좌 직후의 찜질은?,"[""온찜질"",""밥을 크게 삼켜 이물을 아래로 밀어내면 안전하다"",""마사지"",""냉찜질(첫 24~48시간)""]",3,이물을 더 깊이 밀지 않도록 억지로 삼키거나 빼지 말고 전문 도움을 받으세요.,초기에는 냉찜질·휴식·압박·거상이 기본입니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1ed49b7d-c6c0-42a3-b0cc-b52458904b19,84,정신건강·생활습관,음주가 수면에 미치는 영향,"[""수면 구조를 방해해 질을 떨어뜨린다"",""질을 높인다"",""영향 없다"",""취침 직전 화면을 보면 오히려 숙면에 도움된다""]",0,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",각성·수면 분절을 유발합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1f8aa6e2-0a23-46cd-bc7a-35a1b00a3758,161,민간요법·오해,당 음료 습관을 바꾸는 첫걸음,"[""물·무가당 차로 대체"",""그냥 반만 줄이기"",""제로음료만 마시기"",""민간요법을 따르면 대부분 저절로 낫는다""]",0,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",숨은 당 섭취를 크게 줄일 수 있습니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
1fcfa898-9b1f-4b1c-8e08-bb06bcbefe82,87,생활 건강,아침 식사에 대한 올바른 이해,"[""반드시 해롭다"",""먹으면 살찐다"",""개인차 있으나 규칙적 패턴이 도움"",""민간요법을 따르면 대부분 저절로 낫는다""]",2,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",본인 리듬에 맞춘 규칙성이 중요합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
20502dcd-f024-468e-997d-42d5ab30d72b,23,민간요법·오해,체온이 약간 높고 몸살 기운이 있다. 잘못된 대처는?,"[""항생제를 임의로 복용"",""해열제 복용 시 성분·용량 확인"",""민간요법을 따르면 대부분 저절로 낫는다"",""수분·휴식 취하기""]",0,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,감기·몸살 등 바이러스성 증상에 항생제는 효과 없습니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
26955362-9437-4561-b41f-ab73940c7062,170,민간요법·오해,‘이어 캔들'은 안전하고 효과적이다?,"[""권장되지 않는다"",""귀지 제거 표준치료"",""민간요법을 따르면 대부분 저절로 낫는다"",""그렇다""]",0,"흐르는 차가운 물로 10~20분 식히고, 바르는 민간요법은 피하는 표준 처치를 떠올리세요.",화상·이물 위험 등 안전성 문제가 보고됩니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
26c12904-fe9e-4192-a55c-f812f07a378b,136,생활 응급,코피가 10~15분 압박해도 멈추지 않는다.,"[""눕고 머리를 젖힌다"",""솜을 깊숙이 넣는다"",""다시 10~15분 앞부분 압박하고 의료기관 상담"",""머리를 뒤로 젖혀 피를 목으로 넘기면 빨리 멈춘다""]",2,피가 목으로 넘어가지 않게 앞으로 숙여 코 앞부분(연부)을 10~15분 ‘지속' 압박합니다.,"앞쪽 연부 압박 유지가 핵심, 지속 시 진료가 필요합니다.",어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
2e72501e-b29c-4d6d-899b-dd2fa94abbcc,90,생활 건강,단백질 섭취 원칙,"[""개인 상태·활동에 맞춰 균형 있게"",""민간요법을 따르면 대부분 저절로 낫는다"",""모두 과다 섭취"",""탄수화물은 완전 배제""]",0,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",‘균형'이 핵심입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
2e79d98c-f9a1-47e9-b035-2961ef0b8a33,80,생활 건강,허리 다치지 않게 물건 들기,"[""민간요법을 따르면 대부분 저절로 낫는다"",""아무렇게나 든다"",""무릎을 굽혀 몸 가까이서 든다"",""허리만 굽혀 든다""]",2,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",척추 부하를 줄이는 자세입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
30bf6b60-d289-4d02-b76d-5e4dbef443de,50,민간요법·오해,입술 헤르페스에 마늘/치약을 바른다?,"[""자극·악화 위험"",""누구나 안전"",""민간요법을 따르면 대부분 저절로 낫는다"",""좋다""]",0,"민간요법보다 안전·근거 중심 지침을 우선하고, 절개·불명확한 소독·강한 조작은 피하세요.",증상 악화 우려가 있어 전문 상담이 필요합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
326d8df7-d3a5-48db-ba6b-76d2faa3a3b5,9,생활 응급,화상으로 물집이 잡혔다. 어떻게 할까?,"[""칼로 윗껍질을 제거한다"",""스스로 터뜨리지 않는다"",""터뜨려서 물을 빼고 말린다"",""치약이나 된장을 바르면 화상이 가라앉는다""]",1,"흐르는 차가운 물로 10~20분 식히고, 바르는 민간요법은 피하는 표준 처치를 떠올리세요.",물집은 감염 방지·치유에 도움. 임의로 터뜨리지 않습니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
32ee82f9-6f5a-4892-b48e-698d895d3a13,183,감염병·위생,기침·콧물 있을 때 마스크,"[""해롭다"",""타인 보호에 도움"",""증상이 좋아지면 항생제는 스스로 중단해도 된다"",""불필요""]",1,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,비말 전파를 줄입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
346837fe-57c8-4a45-9840-513ec544a8ad,119,정신건강·생활습관,취침 전 스마트폰(블루라이트) 사용,"[""취침 직전 화면을 보면 오히려 숙면에 도움된다"",""오히려 숙면"",""수면을 방해할 수 있다"",""수면에 무관""]",2,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",각성·멜라토닌 억제가 생길 수 있어요.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
359e7446-9990-4c09-9fa3-1aa99a03d98d,181,감염병·위생·식품 안전,도마·칼 관리,"[""생고기·채소 함께 사용"",""물만 뿌린다"",""민간요법을 따르면 대부분 저절로 낫는다"",""분리 사용·세척·건조""]",3,"‘2시간 규칙', 4℃ 이하 냉장, 내부까지 충분 가열, 교차오염 방지 원칙을 떠올리세요.",교차 오염을 막습니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3624d5e1-eb2e-4ba2-894d-ea9c7500ba21,25,민간요법·오해,혈압 측정 전 올바른 준비는?,"[""운동 직후 재면 더 정확하다"",""누워서 다리를 꼬고 잰다"",""커피 한 잔 후 바로 잰다"",""5분간 편안히 앉아 안정 후 측정""]",3,카페인·운동 직후는 피하고 5분 안정 후 올바른 자세로 측정하세요.,카페인·운동 직후는 피하고 안정 상태에서 측정합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
368f3037-4d08-45b2-976c-4bf317e9f317,128,구강·눈·피부,콘택트렌즈 사용,"[""착용한 채 수면 OK"",""민간요법을 따르면 대부분 저절로 낫는다"",""렌즈 착용 상태로 수영·샤워는 감염 위험"",""수돗물에 보관""]",2,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",물 속 미생물에 감염될 수 있어요.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3904248b-d5d2-455d-a87b-fe4358ae545e,105,약물·의약품 안전,국소 스테로이드 연고,"[""피부에 절대 사용 금지"",""민간요법을 따르면 대부분 저절로 낫는다"",""많이 바를수록 안전"",""지시에 맞게 쓰면 염증 완화에 유용""]",0,"부위·기간·용량을 지켜 사용하고, 얼굴/주름진 부위는 특히 주의하세요.",기간·부위·용량을 지키세요.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
399d2053-d75c-46e5-b259-60b01af268bd,182,민간요법·오해,해외 여행 전 준비,"[""민간요법을 따르면 대부분 저절로 낫는다"",""물만 안 마시면 됨"",""예방접종·위생 정보 확인"",""현지 상황 무시""]",2,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",지역별 감염 위험에 대비합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3a420c47-f5b9-4f1f-8ef0-09d3fb8dbf58,88,정신건강·생활습관,수면 위생으로 옳은 것은?,"[""취침 전 스마트폰 사용을 줄인다"",""취침 직전 화면을 보면 오히려 숙면에 도움된다"",""낮잠 3시간"",""침대에서 업무·공부 병행""]",3,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",빛·각성이 수면을 방해합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3c26b415-45fb-46d6-8599-8229fff25d46,31,민간요법·오해,감기에 땀을 많이 빼면 빨리 낫는다?,"[""땀을 많이 빼야만 낫는다"",""대체로 맞다"",""증상이 좋아지면 항생제는 스스로 중단해도 된다"",""과학적 근거가 부족하며 휴식·수분 보충이 우선이다""]",3,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,발한이 병을 ‘배출'한다는 증거는 부족합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3e787605-f76d-49c7-826f-0c9dc2e6ff0b,54,생활 응급,열탈진(어지럼·식은땀) 의심 시?,"[""서늘한 곳·수분·휴식"",""사우나"",""뜨거운 차 마시기"",""민간요법을 따르면 대부분 저절로 낫는다""]",0,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",체온·수분을 안전하게 회복시켜야 합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
3e7b63a0-4b51-49cf-89cf-4b5b8efdce8e,190,연령·상황별,노인의 낙상 예방,"[""바닥 정리·미끄럼 방지·충분한 조명"",""작은 발판 깔기"",""민간요법을 따르면 대부분 저절로 낫는다"",""조명이 어두울수록 좋다""]",0,영유아·임산부·노인은 표준과 금기 사항이 다를 수 있어 연령별 안전 수칙을 떠올리세요.,환경 정비가 큰 역할을 합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
40f3c5e7-a844-4d13-a018-b852fc5f1890,28,약물·의약품 안전,해열제(아세트아미노펜·이부프로펜) 복용 시 주의는?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""표기 용량을 지키고, 중복 성분 동시 복용을 피한다"",""서로 중복된 성분을 이중으로 복용할 수 있다"",""술과 함께 복용해도 무관하다""]",1,식후 복용과 위장·신장 위험 안내를 확인하세요.,성분·용량 준수가 안전합니다(특히 간독성 주의).,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
412dc3da-0ff3-43ce-a68c-e6a04250458b,46,민간요법·오해,특정 약을 임의로 구해 감염병을 ‘자가치료'한다?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""권장된다"",""위험, 증상과 진단에 따른 전문의 처방이 필요"",""누구나 무해하다""]",2,일부 약과 상호작용이 있을 수 있으니 라벨·복약지도를 확인하세요.,오남용·부작용·상호작용 위험이 큽니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
41467ae5-77db-47b7-a5ff-6b5804da1470,72,정신건강·생활습관,늦은 밤 카페인 섭취는?,"[""취침 직전 화면을 보면 오히려 숙면에 도움된다"",""잠들기 어렵게 하므로 피하는 게 좋다"",""수면에 영향 거의 없음"",""숙면을 돕는다""]",1,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",각성효과가 지속될 수 있어요.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
41f92660-4b2d-4603-a168-4d34d3ea8b7d,131,생활 응급,자동심장충격기(AED) 패드 부착 위치로 옳은 것은?,"[""등에만 붙인다"",""분당 80~90회로 천천히 압박하는 게 좋다"",""배에 나란히 붙인다"",""가슴 오른쪽 위/왼쪽 아래에 붙인다""]",3,"가슴압박은 100~120회/분·깊이 5~6cm·완전 이완, AED 패드 위치와 음성안내를 기억하세요.",젖은 피부는 닦고 우측 쇄골 아래·좌측 겨드랑이 아래에 부착합니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
434132a2-0654-45eb-84e3-8b9489904895,133,생활 응급,상처에 큰 유리 조각이 박혀 있다. 올바른 조치는?,"[""소독약을 붓는다"",""바로 뽑아낸다"",""고정하고 출혈 압박, 의료기관 이동"",""소주를 붓는 것이 가장 안전한 소독법이다""]",2,"깨끗한 물로 씻은 뒤 적절한 소독제를 사용하고, 자극적인 음용 알코올은 피하세요.","임의 제거는 출혈·손상 악화 위험, 고정 후 진료가 안전합니다.",보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
43c2b3e8-4007-4144-a4c0-82375bf36d28,63,구강·눈·피부,금속 조각이 눈에 박힌 것 같다.,"[""움직임 최소화·가림 후 즉시 진료"",""비벼서 빼본다"",""손으로 집어 뺀다"",""수건으로 가볍게만 닦으면 충분하다""]",0,비비지 말고 ‘세척·보습·오염 방지' 같은 기본 원칙을 떠올리세요.,자가 제거는 위험합니다.,어려움,3,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
45ffb34f-1459-4cb1-82a8-247b2dcb8d60,102,약물·의약품 안전,진통제 중복 복용,"[""성분 다르면 동시에 OK"",""중복 성분 확인 필수"",""민간요법을 따르면 대부분 저절로 낫는다"",""많이 먹을수록 좋다""]",1,성분·용량·중복·상호작용·보관 원칙 중 무엇이 핵심인지 라벨과 복약지도로 확인해 보세요.,간·신장 독성 위험이 있습니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
460e0d5d-cc57-4710-8179-88915f46252d,194,연령·상황별,청소년·청년의 스마트폰 사용,"[""사용 시간·방식을 스스로 점검"",""민간요법을 따르면 대부분 저절로 낫는다"",""무제한 사용 권장"",""밤새 사용""]",0,"취침 1시간 전 스크린·카페인·음주를 줄이고, 일정한 취침/기상 시간을 유지하세요.",수면·기분을 위해 균형이 필요합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
494690fc-f606-41b7-9457-d0a8e10ef6c8,76,민간요법·오해,당류 섭취를 줄이는 쉬운 방법은?,"[""민간요법을 따르면 대부분 저절로 낫는다"",""과자 양 늘리기"",""라벨을 보지 않기"",""음료를 물/무가당으로 바꾸기""]",3,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",숨은 당(음료)이 큰 비중을 차지합니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
494e7187-1bfd-4a84-927e-fc462d51df5a,89,생활 건강,체중 감량은 어떻게 하는 것이 안전한가?,"[""굶기가 최고"",""민간요법을 따르면 대부분 저절로 낫는다"",""빠를수록 좋다"",""서서히·지속 가능한 습관이 중요""]",3,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",무리한 감량은 요요·건강 악화 위험.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
4ad9f51c-28d7-4082-b084-a46866796418,95,약물·의약품 안전,아세트아미노펜 과다 복용 시,"[""전혀 안전"",""민간요법을 따르면 대부분 저절로 낫는다"",""간 손상 위험"",""졸림만 온다""]",2,표시 용량을 넘기지 말고 중복 성분을 확인하세요(간 독성 주의).,표시 용량을 준수하세요.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
4e0cc8b4-4b16-49cb-accc-e1b32a4bb1b2,151,생활 응급,동물에 물렸다(피가 남).,"[""민간요법을 따르면 대부분 저절로 낫는다"",""소금물"",""흐르는 물+비누로 충분히 씻고 의료기관"",""파스를 붙인다""]",2,"균형 잡힌 식단·수분, 규칙적 식사·활동 같은 기본 원칙을 우선하세요.",세척·예방접종 평가가 필요합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
4ecdd75b-0c1b-45fa-a164-49f339865864,127,구강·눈·피부,칫솔 관리,"[""잘 말리고 정기적으로 교체"",""함께 돌려쓴다"",""젖은 채 밀폐 보관"",""민간요법을 따르면 대부분 저절로 낫는다""]",0,"칫솔이 닿지 않는 틈은 치실/치간칫솔로, 양치는 약 2분-솔 퍼지면 교체하세요.",세균 증식을 줄입니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
511b5d87-d65d-440c-809c-ee5013999a62,192,생활 응급,영아 안전한 수면 자세(일반 권고),"[""등으로 눕혀 재우기, 단단한 매트리스"",""이불·인형 많이"",""엎드려 재우기"",""취침 직전 화면을 보면 오히려 숙면에 도움된다""]",0,"성인은 등 5회+복부/흉부 밀치기, 유아는 복부 밀치기 금지를 기억하세요.",호흡 확보·질식 예방에 유리합니다.,보통,2,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
51ea7afc-9d86-416f-87d3-3b2759f443d8,143,민간요법·오해,의식 소실 후 깨어났고 정상 호흡이다.,"[""회복자세(옆으로 눕히기)"",""물을 마시게 한다"",""증상이 좋아지면 항생제는 스스로 중단해도 된다"",""억지로 일으킨다""]",0,감기의 주원인(바이러스)과 항생제가 대상(세균)인 점을 구분해 보세요.,기도 확보와 흡인 예방을 위해 옆으로 눕힙니다.,쉬움,1,2025-10-23 02:21:14.886447+00,2025-10-23 02:21:14.886447+00
